Author,Description,Genre,Publisher,Title
Joanna Gaines,,advice-how-to-and-miscellaneous,Harper Design,HOMEBODY
Rachel Hollis,,advice-how-to-and-miscellaneous,Thomas Nelson,"GIRL, WASH YOUR FACE"
Joanna Gaines with Marah Stets,,advice-how-to-and-miscellaneous,Morrow,MAGNOLIA TABLE
The Staff of the Late Show With Stephen Colbert,,advice-how-to-and-miscellaneous,Simon & Schuster,WHOSE BOAT IS THIS BOAT?
Mark Manson,,advice-how-to-and-miscellaneous,HarperOne/HarperCollins,THE SUBTLE ART OF NOT GIVING A ----------
Jen Sincero,,advice-how-to-and-miscellaneous,Running Press,YOU ARE A BADASS
Lin-Manuel Miranda,,advice-how-to-and-miscellaneous,Random House,"GMORNING, GNIGHT!"
Ina Garten,,advice-how-to-and-miscellaneous,Clarkson Potter,COOK LIKE A PRO
Chrissy Teigen and Adeena Sussman,,advice-how-to-and-miscellaneous,Clarkson Potter,CRAVINGS: HUNGRY FOR MORE
Reese Witherspoon,,advice-how-to-and-miscellaneous,Touchstone,WHISKEY IN A TEACUP
RJ Palacio,A boy with a facial deformity starts school.,childrens-middle-grade-hardcover,Knopf,WONDER
Rachel Ignotofsky,Fifty women who have transformed science and technology.,childrens-middle-grade-hardcover,Ten Speed,WOMEN IN SCIENCE
Dylan Thuras and Rosemary Mosco,A thrillingly imaginative expedition to 100 weird-but-true places on earth.,childrens-middle-grade-hardcover,Workman,THE ATLAS OBSCURA EXPLORER'S GUIDE FOR THE WORLD'S MOST ADVENTUROUS KID
Kelly Barnhill,A sacrificial girl is saved by a good witch.,childrens-middle-grade-hardcover,Algonquin,THE GIRL WHO DRANK THE MOON
James Patterson with Steven Butler,"A ""Middle School"" story told by Rafe's dog, Junior.",childrens-middle-grade-hardcover,jimmy patterson,DOG DIARIES
America's Test Kitchen,Over 100 kid-tested recipes from America's Test Kitchen.,childrens-middle-grade-hardcover,Sourcebooks Jabberwocky,THE COMPLETE COOKBOOK FOR YOUNG CHEFS
James Patterson and Chris Grabenstein,A homeless genius orphan that attends N.Y.U. is recruited by the Change Makers Institute.,childrens-middle-grade-hardcover,jimmy patterson,MAX EINSTEIN: THE GENIUS EXPERIMENT
Katherine Applegate,"Red, an oak tree on which people leave their wishes, is threatened to be cut down after more than 200 years.",childrens-middle-grade-hardcover,Feiwel and Friends,WISHTREE
Mac Barnett,The Queen of England has a secret mission for Mac.,childrens-middle-grade-hardcover,Orchard,"MAC B., KID SPY: MAC UNDERCOVER"
Tracey Baptiste,"After a terrible car crash, Bianca and Lonnie play a virtual-reality version of Minecraft.",childrens-middle-grade-hardcover,Del Rey,MINECRAFT: THE CRASH
Adam Rubin,What to serve your dragon-guests.,picture-books,Dial,DRAGONS LOVE TACOS
Sherri Duskey Rinker,Construction vehicles build a firehouse in time for Christmas.,picture-books,Chronicle,CONSTRUCTION SITE ON CHRISTMAS NIGHT
Emily Winfield Martin,A celebration of future possibilities.,picture-books,Random House,THE WONDERFUL THINGS YOU WILL BE
Andrea Beaty,A young inventor learns to fail better.,picture-books,Abrams,"ROSIE REVERE, ENGINEER"
Raj Haldar and Chris Carpenter,Exploring mischievous words that ignore the rules of phonetics and spelling.,picture-books,Sourcebooks Jabberwocky,P IS FOR PTERODACTYL
Drew Daywalt,Problems arise when Duncan’s crayons revolt.,picture-books,Philomel,THE DAY THE CRAYONS QUIT
Adam Wallace,A tiny narrator dodges traps while making the Christmas rounds.,picture-books,Sourcebooks Jabberwocky,HOW TO CATCH AN ELF
B J Novak,Silly songs and sound effects.,picture-books,Dial,THE BOOK WITH NO PICTURES
Suzanne Lang,Jim Panzee is having a bad day.,picture-books,Random House,GRUMPY MONKEY
Clement C Moore Various illustrators,Not a creature was stirring.,picture-books,Various publishers,THE NIGHT BEFORE CHRISTMAS
Jeff Kinney,The travails and challenges of adolescence.,series-books,Amulet,DIARY OF A WIMPY KID
JK Rowling,A wizard hones his conjuring skills in the service of fighting evil.,series-books,Scholastic,HARRY POTTER
Dav Pilkey,A dog’s head is combined with a policeman’s body to create this hybrid supercop hound.,series-books,Scholastic,DOG MAN
Rachel Renée Russell,Nikki Maxwell navigates the halls of middle school.,series-books,Simon & Schuster,DORK DIARIES
Dav Pilkey,Boys and their principal fight evil.,series-books,Scholastic,CAPTAIN UNDERPANTS
Cassandra Clare,"The sequel series to ""The Mortal Instruments.""",series-books,Margaret K. McElderry,DARK ARTIFICES
Jenny Han,"A girl faces budding love, a widower father and the trials of getting into and ready for college.",series-books,Simon & Schuster,TO ALL THE BOYS I'VE LOVED BEFORE
Rick Riordan,A boy battles mythological monsters.,series-books,Disney-Hyperion,PERCY JACKSON & THE OLYMPIANS
Ransom Riggs,Time travelers try to save their beloved headmistress.,series-books,Quirk/Penguin,MISS PEREGRINE’S PECULIAR CHILDREN
Ann M Martin,"Kristy, Mary Anne, Claudia, Stacey, and Dawn are The Baby-sitters Club.",series-books,Graphix,BABY-SITTERS CLUB GRAPHIX
Angie Thomas,A 16-year-old girl sees a police officer kill her friend.,young-adult-hardcover,Balzer & Bray,THE HATE U GIVE
"Val Emmich with Steven Levenson, Benj Pasek & Justin Paul","When one of Evan's letters to himself is accidentally found on a suicide victim, the victim's family assumes that he was a close friend.",young-adult-hardcover,Poppy,DEAR EVAN HANSEN: THE NOVEL
Markus Zusak,The family saga of the Dunbar brothers.,young-adult-hardcover,Knopf,BRIDGE OF CLAY
Tomi Adeyemi,Zélie fights to restore magic to the land of Orïsha.,young-adult-hardcover,Holt,CHILDREN OF BLOOD AND BONE
Karen M McManus,"For five students, a detour into detention ends in murder.",young-adult-hardcover,Delacorte,ONE OF US IS LYING
Brandon Sanderson,"A young girl wants to become a fighter pilot, but will her father's reputation stand in the way?",young-adult-hardcover,Delacorte,SKYWARD
John Green,"Aza and Daisy investigate a mystery with a reward of $100,000.",young-adult-hardcover,Dutton,TURTLES ALL THE WAY DOWN
Becky Albertalli and Adam Silvera,"Arthur and Ben meet-cute at the post office, but what will become of them?",young-adult-hardcover,Balzer & Bray,WHAT IF IT'S US
Rachael Lippincott with Mikki Daughtry and Tobias Iaconis,"Stella and Will are in love, but they can't get within five feet of each other.",young-adult-hardcover,Simon & Schuster,FIVE FEET APART
Natasha Ngan,Lei is forced to be a concubine for the king in the Hidden Palace.,young-adult-hardcover,jimmy patterson,GIRLS OF PAPER AND FIRE
Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect. Read by Cassandra Campbell. 12 hours, 12 minutes unabridged.",audio-fiction,Penguin Audio,WHERE THE CRAWDADS SING
Nora Roberts,"Fallon Swift goes on three quests to discover her powers. Read by Julia Whelan. 13 hours, 42 minutes unabridged.",audio-fiction,Brilliance Audio,OF BLOOD AND BONE
Josie Silver,"A woman spends a year searching for a man in London she believes — after a single glance — is her true love. Read by Eleanor Tomlinson and Charlie Anson. 10 hours, 27 minutes unabridged.",audio-fiction,Random House Audio,ONE DAY IN DECEMBER
John Grisham,"A decorated World War II veteran shoots and kills a pastor inside a Mississippi church. Read by Michael Beck. 17 hours, 36 minutes unabridged.",audio-fiction,Random House Audio,THE RECKONING
Liane Moriarty,A romance writer becomes fascinated by the owner and director of a health resort. Read by Caroline Lee. 19 hours unabridged.,audio-fiction,Macmillan Audio,NINE PERFECT STRANGERS
David Baldacci,"The F.B.I. agent Atlee Pine must choose between protecting her career or the United States' democracy. Read by Brittany Pressley and Kyf Brewer. 11 hours, 9 minutes unabridged.",audio-fiction,Hachette Audio,LONG ROAD TO MERCY
George RR Martin,"The first volume of the two-part history of the Targaryens in Westeros. Read by Simon Vance. 26 hours, 24 minutes unabridged.",audio-fiction,Random House Audio,FIRE AND BLOOD
Madeline Miller,"Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals. Read by Perdita Weeks. 12 hours, 8 minutes unabridged.",audio-fiction,Hachette Audio,CIRCE
Nicholas Sparks,"Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town. Read by Sean Cameron Michael and Vanessa Johansson. 9 hours, 11 minutes unabridged.",audio-fiction,Hachette Audio,EVERY BREATH
Patrick Rothfuss,"A notorious magician disguised as an innkeeper tells the story of his life. Read by Nick Podehl. 27 hours, 55 minutes unabridged.",audio-fiction,Brilliance Audio,THE NAME OF THE WIND
Lisa Jewell,"Ten years after her daughter disappears, a woman tries to get her life in order. Read by Helen Duff. 10 hours, 11 minutes unabridged.",audio-fiction,Dreamscape Media,THEN SHE WAS GONE
Lee Child,"Jack Reacher explores the New England town where his father was born. Read by Scott Brick. 12 hours, 51 minutes unabridged.",audio-fiction,Random House Audio,PAST TENSE
Greer Hendricks and Sarah Pekkanen,"The story of a love triangle is told from several points of view. Read by Julia Whelan. 11 hours, 13 minutes unabridged.",audio-fiction,Macmillan Audio,THE WIFE BETWEEN US
Gail Honeyman,"A young woman’s well-ordered life is disrupted by the I.T. guy from her office. Read by Cathleen McCarron. 11 hours, 1 minute unabridged.",audio-fiction,Penguin Audio,ELEANOR OLIPHANT IS COMPLETELY FINE
George R R Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering. Read by Roy Dotrice. 33 hours, 46 minutes unabridged.",audio-fiction,Random House Audio,A GAME OF THRONES
Michelle Obama,"The former first lady describes how she balanced work, family and her husband’s political ascent. Read by the author. 19 hours, 3 minutes unabridged.",audio-nonfiction,Random House Audio,BECOMING
Tara Westover,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university. Read by Julia Whelan. 12 hours, 10 minutes unabridged.",audio-nonfiction,Random House Audio,EDUCATED
Yuval Noah Harari,"How Homo sapiens became Earth’s dominant species. Read by Derek Perkins. 15 hours, 17 minutes unabridged.",audio-nonfiction,Harper Audio,SAPIENS
"Paul Holes, Jim Clemente and Peter McDonnell","A conversation about the story behind the investigation of the Golden State Killer. Read by Paul Holes and Jim Clemente. 6 hours, 13 minutes unabridged.",audio-nonfiction,Audible Studios,EVIL HAS A NAME
John Carreyrou,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient. Read by Will Damron. 11 hours, 36 minutes unabridged.",audio-nonfiction,Random House Audio,BAD BLOOD
Trevor Noah,"A memoir about growing up in South Africa by the host of “The Daily Show."" Read by the author. 8 hours, 50 minutes unabridged.",audio-nonfiction,Audible Studios,BORN A CRIME
Jocko Willink and Leif Babin,"Applying the principles of Navy SEALs leadership training to any organization. Read by the authors. 8 hours, 15 minutes unabridged.",audio-nonfiction,Macmillan Audio,EXTREME OWNERSHIP
Yuval Noah Harari,"Technological, political and social issues in the modern era. Read by Derek Perkins. 11 hours, 41 minutes unabridged.",audio-nonfiction,Random House Audio,21 LESSONS FOR THE 21ST CENTURY
Charles Duhigg,"An examination of the science behind habits. Read by Mike Chamberlain. 10 hours, 57 minutes unabridged.",audio-nonfiction,Random House Audio,THE POWER OF HABIT
Gabrielle Union,"Essays by the actress and activist on love, step-parenting and living beyond personal tragedy. Read by the author. 7 hours, 48 minutes unabridged.",audio-nonfiction,HarperAudio,WE'RE GOING TO NEED MORE WINE
Joe Kenda,"The star of “Homicide Hunter” reveals cases that were not televised. Read by the author. 8 hours, 17 minutes unabridged.",audio-nonfiction,Hachette Audio,I WILL FIND YOU
Ruth Bader Ginsburg with Mary Hartnett and Wendy W Williams,"A collection of articles and speeches by the Supreme Court justice. Read by Linda Lavin. 13 hours, 16 minutes unabridged.",audio-nonfiction,Simon & Schuster Audio,MY OWN WORDS
Michael Pollan,"A personal account of how psychedelics might help the mentally ill and people dealing with everyday challenges. Read by the author. 13 hours, 34 minutes unabridged.",audio-nonfiction,Penguin Audio,HOW TO CHANGE YOUR MIND
Kiese Laymon,"A memoir exploring the difficulties of race, family and eating disorders. Read by the author. 6 hours, 17 minutes unabridged.",audio-nonfiction,Simon & Schuster Audio,HEAVY
Michael Diamond and Adam Horovitz,"The story of the New York band who achieved hip hop stardom. Read by the authors and others. 12 hours, 41 minutes unabridged.",audio-nonfiction,Random House Audio,BEASTIE BOYS BOOK
Doris Kearns Goodwin,,business-books,Simon & Schuster,LEADERSHIP
Brené Brown,,business-books,Random House,DARE TO LEAD
John Carreyrou,,business-books,Knopf,BAD BLOOD
James Clear,,business-books,Avery,ATOMIC HABITS
Ray Dalio,,business-books,Simon & Schuster,PRINCIPLES
Jocko Willink and Leif Babin,,business-books,St. Martin's,EXTREME OWNERSHIP
Phil Knight,,business-books,Scribner,SHOE DOG
Chip Gaines and Joanna Gaines with Mark Dagostino,,business-books,W Publishing/Thomas Nelson,THE MAGNOLIA STORY
Daniel Kahneman,,business-books,"Farrar, Straus & Giroux","THINKING, FAST AND SLOW"
Angela Duckworth,,business-books,Scribner,GRIT
Yuval Noah Harari,,science,Harper Perennial,SAPIENS
Stephen Hawking,,science,Bantam,BRIEF ANSWERS TO THE BIG QUESTIONS
Yuval Noah Harari,,science,Spiegel & Grau,21 LESSONS FOR THE 21ST CENTURY
Neil deGrasse Tyson,,science,Norton,ASTROPHYSICS FOR PEOPLE IN A HURRY
Randall Munroe,,science,Houghton Mifflin Harcourt,WHAT IF?
Michael Pollan,,science,Penguin Press,HOW TO CHANGE YOUR MIND
Yuval Noah Harari,,science,Harper/HarperCollins,HOMO DEUS
Daniel Kahneman,,science,"Farrar, Straus & Giroux","THINKING, FAST AND SLOW"
Bessel van der Kolk,,science,Penguin,THE BODY KEEPS THE SCORE
Paul Kalanithi,,science,Random House,WHEN BREATH BECOMES AIR
Kobe Bryant,,sports,"Melcher/MCD/Farrar, Straus & Giroux",THE MAMBA MENTALITY
Jane Leavy,,sports,Harper,THE BIG FELLA
Tim Tebow with AJ Gregory,,sports,WaterBrook,THIS IS THE DAY
Dale Earnhardt Jr with Ryan McGee,,sports,Thomas Nelson,RACING TO THE FINISH
Phil Knight,,sports,Scribner,SHOE DOG
The Editors of Sports,,sports,Sports Illustrated,THE STORY OF BASEBALL: IN 100 PHOTOGRAPHS
"Jackie MacMullan, Rafe Bartholomew and Dan Klores",,sports,Crown/Archetype,BASKETBALL: A LOVE STORY
John Feinstein,,sports,Doubleday,QUARTERBACK
Glenn Stout and Richard A Johnson,,sports,Houghton Mifflin Harcourt,THE PATS
Ian O'Connor,,sports,Houghton Mifflin Harcourt,BELICHICK
John Grisham,A decorated World War II veteran shoots and kills a pastor inside a Mississippi church.,combined-print-and-e-book-fiction,Doubleday,THE RECKONING
Nicholas Sparks,Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town.,combined-print-and-e-book-fiction,Grand Central,EVERY BREATH
