author,description,format,genre,month,pages,publisher,rating,title,year
Liane Moriarty,Six responsible adults. Three cute kids. One small dog. It’s just a normal weekend. What could possibly go wrong?,Hardcover,Fiction,July,415,Flatiron Books,3.56,Truly Madly Guilty,2016
Bryn Greenwood,"As the daughter of a meth dealer, Wavy knows not to trust people, not even her own parents. Struggling to raise her little brother, eight-year-old Wavy is the only responsible ""adult"" around. She finds peace in the starry Midwestern night sky above the fields behind her house. One night everything changes when she witnesses one of her father's thugs, Kellen, a tattooed ex-",Hardcover,Fiction,August,346,Thomas Dunne Books,4.07,All the Ugly and Wonderful Things,2016
Emma Cline,"Northern California, during the violent end of the 1960s. At the start of summer, a lonely and thoughtful teenager, Evie Boyd, sees a group of girls in the park, and is immediately caught by their freedom, their careless dress, their dangerous aura of abandon. Soon, Evie is in thrall to Suzanne, a mesmerizing older girl, and is drawn into the circle of a soon-to-be infamou",Hardcover,Fiction,June,355,Random House,3.47,The Girls,2016
Cynthia D'Aprix Sweeney,"<i>A warm, funny and acutely perceptive debut novel about four adult siblings and the fate of the shared inheritance that has shaped their choices and their lives.</i>",Hardcover,Fiction,March,368,Ecco,3.42,The Nest,2016
Jodi Picoult,"Ruth Jefferson is a labor and delivery nurse at a Connecticut hospital with more than twenty years' experience. During her shift, Ruth begins a routine checkup on a newborn, only to be told a few minutes later that she's been reassigned to another patient. The parents are white supremacists and don't want Ruth, who is African American, to touch their child. The hospital co",Hardcover,Fiction,October,480,Ballantine Books,4.35,Small Great Things,2016
Curtis Sittenfeld,"This version of the Bennet family and Mr. Darcy is one that you have and haven't met before: Liz is a magazine writer in her late thirties who, like her yoga instructor older sister, Jane, lives in New York City. When their father has a health scare, they return to their childhood home in Cincinnati to help and discover that the sprawling Tudor they grew up in is crumbling",Hardcover,Fiction,April,492,Random House,3.61,Eligible,2016
Ann Patchett,<strong>#1 <em>New York Times </em>Bestseller</strong>,Hardcover,Fiction,September,336,Harper,3.81,Commonwealth,2016
Steven  Rowley,Combining the emotional depth of ,Hardcover,Fiction,June,307,Simon  Schuster,3.72,Lily and the Octopus,2016
Elizabeth Strout,The profound mother-daughter bond is explored through a mother's hospital visit to her estranged daughter by the Pulitzer Prize-winning author of Olive Kitteridge and The Burgess Boys.,Hardcover,Fiction,January,193,Random House                          (first published January 6th 2016,3.51,My Name Is Lucy Barton,2016
Helen Oyeyemi,"The key to a house, the key to a heart, the key to a secret—Oyeyemi’s keys not only unlock elements of her characters’ lives, they promise further labyrinths on the other side. In “Books and Roses” one special key opens a library, a garden, and clues to at least two lovers’ fates. In “Is Your Blood as Red as This?” an unlikely key opens the heart of a student at a puppetee",Hardcover,Short Stories,March,325,Riverhead Books,3.63,What is Not Yours is Not Yours,2016
