author,description,format,genre,month,pages,publisher,rating,title,year
Yaa Gyasi,"A novel of breathtaking sweep and emotional power that traces three hundred years in Ghana and along the way also becomes a truly great American novel. Extraordinary for its exquisite language, its implacable sorrow, its soaring beauty, and for its monumental portrait of the forces that shape families and nations, ",Hardcover,Historical,June,320,Alfred A. Knopf,4.42,Homegoing,2016
Colson Whitehead,"Cora is a slave on a cotton plantation in Georgia. Life is hellish for all the slaves but especially bad for Cora; an outcast even among her fellow Africans, she is coming into womanhood - where even greater pain awaits. When Caesar, a recent arrival from Virginia, tells her about the Underground Railroad, they decide to take a terrifying risk and escape. Matters do not go",Hardcover,Historical,August,306,Doubleday Books,4.03,The Underground Railroad,2016
Paul Kalanithi,"For readers of Atul Gawande, Andrew Solomon, and Anne Lamott, a profoundly moving, exquisitely observed memoir by a young neurosurgeon faced with a terminal cancer diagnosis who attempts to answer the question What makes a life worth living?",Kindle Edition,Nonfiction,January,208,Random House                          (first published January 12th 2016,4.34,When Breath Becomes Air,2016
Matthew Desmond,"<b><i>New York Times </i>Bestseller<br/><br/>From Harvard sociologist and MacArthur ""Genius"" Matthew Desmond, a landmark work of scholarship and reportage that will forever change the way we look at poverty in America</b>",Hardcover,Nonfiction,March,418,Crown,4.49,Evicted: Poverty and Profit in the American City,2016
Ian McGuire,LONGLISTED FOR THE MAN BOOKER PRIZE 2016,Hardcover,Historical,March,272,Henry Holt and Co.                          (first published February 11th 2016,4.00,The North Water,2016
Han Kang,"Before the nightmare, Yeong-hye and her husband lived an ordinary life. But when splintering, blood-soaked images start haunting her thoughts, Yeong-hye decides to purge her mind and renounce eating meat. In a country where societal mores are strictly obeyed, Yeong-hye's decision to embrace a more “plant-like” existence is a shocking act of subversion. And as her passive r",Hardcover,Fiction,February,188,Hogarth Press                          (first published October 30th 2007,3.58,The Vegetarian,2007
Karan Mahajan,FINALIST FOR THE NATIONAL BOOK AWARD 2016,Hardcover,Fiction,March,288,Viking,3.57,The Association of Small Bombs,2016
Ann Patchett,<strong>#1 <em>New York Times </em>Bestseller</strong>,Hardcover,Fiction,September,336,Harper,3.81,Commonwealth,2016
Elizabeth Strout,The profound mother-daughter bond is explored through a mother's hospital visit to her estranged daughter by the Pulitzer Prize-winning author of Olive Kitteridge and The Burgess Boys.,Hardcover,Fiction,January,193,Random House                          (first published January 6th 2016,3.51,My Name Is Lucy Barton,2016
Zadie Smith,"Two brown girls dream of being dancers--but only one, Tracey, has talent. The other has ideas: about rhythm and time, about black bodies and black music, about what constitutes a tribe, or makes a person truly free. It's a close but complicated childhood friendship that ends abruptly in their early twenties, never to be revisited, but never quite forgotten, either.",Hardcover,Fiction,November,453,Hamish Hamilton,3.57,Swing Time,2016
Madeleine Thien,"“In a single year, my father left us twice. The first time, to end his marriage, and the second, when he took his own life. I was ten years old.”",Hardcover,Fiction,October,480,W. W. Norton  Company                          (first published May 31st 2016,3.91,Do Not Say We Have Nothing,2016
Nathan  Hill,"A hilarious and deeply touching debut novel about a son, the mother who left him as a child, and how his search to uncover the secrets of her life leads him to reclaim his own.",Hardcover,Fiction,August,640,Knopf,4.09,The Nix,2016
Deborah Levy,"Sofia, a young anthropologist, has spent much of her life trying to solve the mystery of her mother's unexplainable illness. She's frustrated with Rose and her constant complaints but utterly relieved to be called to abandon her own disappointing fledgling adult life. She and Rose travel to the searing, arid coast of southern Spain to see a famous consultant, Dr. Gomez—the",Hardcover,Fiction,July,218,Bloomsbury USA                          (first published March 31st 2016,3.40,Hot Milk,2016
Jane Mayer,"Why is America living in an age of profound economic inequality? Why, despite the desperate need to address climate change, have even modest environmental efforts been defeated again and again? Why have protections for employees been decimated? Why do hedge-fund billionaires pay a far lower tax rate than middle-class workers?",ebook,Nonfiction,January,464,Doubleday,4.36,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,2016
Affinity Konar,"Pearl is in charge of: the sad, the good, the past.",Hardcover,Historical,September,344,Lee Boudreaux Books,3.86,Mischling,2016
Noah Hawley,"On a foggy summer night, eleven people—ten privileged, one down-on-his-luck painter—depart Martha's Vineyard on a private jet headed for New York. Sixteen minutes later, the unthinkable happens: the plane plunges into the ocean. The only survivors are the painter Scott Burroughs and a four-year-old boy, who is now the last remaining member of an immensely wealthy and power",Hardcover,Fiction,May,391,Grand Central Publishing,3.74,Before the Fall,2016
Svetlana Alexievich,"<p>From the 2015 winner of the Nobel Prize in Literature, Svetlana Alexievich, comes the first English translation of her latest work, an oral history of the disintegration of the Soviet Union and the emergence of a new Russia.</p>",Kindle Edition,Nonfiction,May,496,Text Publishing                          (first published August 15th 2013,4.43,Secondhand Time: The Last of the Soviets,2013
Ian McEwan,"<b>Nutshell is a classic story of murder and deceit, told by a narrator with a perspective and voice unlike any in recent literature. A bravura performance, it is the finest recent work from a true master.</b>",Hardcover,Fiction,September,208,Nan A. Talese                          (first published September 1st 2016,3.69,Nutshell,2016
Hisham Matar,"From Man Booker Prize and National Book Critics Circle Award finalist Hisham Matar, a memoir of his journey home to his native Libya in search of answers to his father's disappearance. In 2012, after the overthrow of Qaddafi, the acclaimed novelist Hisham Matar journeys to his native Libya after an absence of thirty years.      ",Hardcover,Nonfiction,July,288,Knopf Canada                          (first published June 2016,4.14,"The Return: Fathers, Sons, and the Land in Between",2016
Carol  Anderson,"<b>From the Civil War to our combustible present, acclaimed historian Carol Anderson reframes our continuing conversation about race, chronicling the powerful forces opposed to black progress in America.</b>",Hardcover,Nonfiction,May,256,Bloomsbury USA,4.42,White Rage: The Unspoken Truth of Our Racial Divide,2016
Louise Erdrich,"In this literary masterwork, Louise Erdrich, the bestselling author of the National Book Award-winning ",Hardcover,Fiction,May,372,Harper,3.87,LaRose,2016
Michael Chabon,Following on the heels of his ,Hardcover,Fiction,November,430,Harper,3.82,Moonglow,2016
Don DeLillo,"The wisest, richest, funniest, and most moving novel in years from Don DeLillo, one of the great American novelists of our time—an ode to language, at the heart of our humanity, a meditation on death, and an embrace of life.",Hardcover,Fiction,May,274,Scribner                          (first published March 3rd 2016,3.20,Zero K,2016
Jonathan Safran Foer,A monumental new novel from the bestselling author of ,Paperback,Fiction,August,571,Hamish Hamilton,3.64,Here I Am,2016
David Szalay,"<b>A magnificent and ambitiously conceived portrait of contemporary life, by a genius of realism.</b>",Paperback,Fiction,September,448,Jonathan Cape,3.66,All That Man Is,2016
Max Porter,"In a London flat, two young boys face the unbearable sadness of their mother's sudden death. Their father, a Ted Hughes scholar and scruffy romantic, imagines a future of well-meaning visitors and emptiness.",Hardcover,Poetry,September,114,Faber & Faber                          (first published August 24th 2015,3.87,Grief is the Thing with Feathers,2015
Jacqueline Woodson,"Running into a long-ago friend sets memories from the 1970s in motion for August, transporting her to a time and a place where friendship was everything—until it wasn’t. For August and her girls, sharing confidences as they ambled through neighborhood streets, Brooklyn was a place where they believed that they were beautiful, talented, brilliant—a part of a future that bel",Hardcover,Fiction,August,177,Amistad,3.86,Another Brooklyn,2016
Hope Jahren,"Acclaimed scientist Hope Jahren has built three laboratories in which she’s studied trees, flowers, seeds, and soil. Her first book is a revelatory treatise on plant life—but it is also so much more. ",Hardcover,Nonfiction,April,290,Knopf                          (first published March 1st 2016,4.03,Lab Girl,2016
Annie Proulx,"In the late seventeenth century two penniless young Frenchmen, René Sel and Charles Duquet, arrive in New France. Bound to a feudal lord, a “",Hardcover,Fiction,June,717,Scribner                          (first published January 5th 2016,3.76,Barkskins,2016
Cathy O'Neil,<b>A former Wall Street quant sounds an alarm on mathematical modeling—a pervasive new force in society that threatens to undermine democracy and widen inequality.</b>,Hardcover,Nonfiction,September,259,Crown,3.87,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,2016
C.E. Morgan,"Hellsmouth, a wilful thoroughbred filly, has the legacy of a family riding on her.",Hardcover,Fiction,May,545,4th Estate                          (first published May 1st 2016,3.59,The Sport of Kings,2016
Imbolo Mbue,"<b>A compulsively readable debut novel about marriage, immigration, class, race, and the trapdoors in the American Dream—the unforgettable story of a young Cameroonian couple making a new life in New York just as the Great Recession upends the economy<br/><br/>Named one of BuzzFeed’s “Incredible New Books You Need to Read This Summer”</b>",Hardcover,Fiction,August,380,Random House                          (first published March 15th 2016,3.95,Behold the Dreamers,2016
Eileen Myles,"A collection of thrilling new and beloved past work from one of America's most celebrated poets, Eileen Myles, a cult icon and modern favorite",ebook,Poetry,September,368,Ecco,4.19,I Must Be Living Twice: New and Selected Poems,2015
Richard Russo,"Richard Russo, at the very top of his game, now returns to North Bath, in upstate New York, and the characters who made Nobody's Fool (1993) a ""confident, assured novel that sweeps the reader up,"" according to the San Francisco Chronicle back then. ""Simple as family love, yet nearly as complicated."" Or, as The Boston Globe put it, ""a big, rambunctious novel with endless ri",Hardcover,Fiction,May,477,Knopf,4.08,Everybody's Fool,2016
Bruce Springsteen,"“Writing about yourself is a funny business…But in a project like this, the writer has made one promise, to show the reader his mind. In these pages, I’ve tried to do this.” —Bruce Springsteen, from the pages of ",Hardcover,Nonfiction,September,528,Simon  Schuster,4.19,Born to Run,2016
Juan Gabriel Vásquez,From the brilliant mind of the author of ,Hardcover,Fiction,September,193,Riverhead Books                          (first published May 1st 2006,3.70,Reputations,2006
Tyler Anbinder,"<b>A defining American story of millions of immigrants, hundreds of languages, and one great city</b>",Hardcover,History,October,768,Houghton Mifflin Harcourt,4.36,City of Dreams: The 400-Year Epic History of Immigrant New York,2016
Siddhartha Mukherjee,"From the Pulitzer Prize-winning, bestselling author of ",Hardcover,Science,May,592,Scribner,4.37,The Gene: An Intimate History,2016
Simon Schama,"A portrait opens a window into a person's life: who they were and wanted to be, who the artist saw and how everyone else looked on.",Hardcover,History,September,632,Viking                          (first published January 1st 2015,3.97,The Face of Britain: The Nation Through its Portraits,2015
Candice Millard,"<b>From <i>New York Times</i> bestselling author of <i>Destiny of the Republic</i> and <i>The River of Doubt</i>, a thrilling narrative of Winston Churchill's extraordinary and little-known exploits during the Boer War</b>",Paperback,History,September,563,Random House Large Print                          (first published April 12th 2016,4.18,"Hero of the Empire: The Boer War, a Daring Escape, and the Making of Winston Churchill",2016
David France,"<b>The definitive history of the successful battle to halt the AIDS epidemic from the creator of, and inspired by, the seminal documentary <i>How to Survive a Plague</i>. </b>",Hardcover,Nonfiction,November,640,Knopf                          (first published January 1st 2013,4.42,How to Survive a Plague: The Inside Story of How Citizens and Science Tamed AIDS,2013
Elizabeth Hinton,"In the United States today, one in every 31 adults is under some form of penal control, including one in eleven African American men. How did the ""land of the free"" become the home of the world's largest prison system? Challenging the belief that America's prison problem originated with the Reagan administration's War on Drugs, Elizabeth Hinton traces the rise of mass inca",Hardcover,History,May,464,Harvard University Press,4.08,From the War on Poverty to the War on Crime: The Making of Mass Incarceration in America,2016
Blanche Wiesen Cook,<b>The magisterial concluding volume in the definitive biography of Eleanor Roosevelt</b>,Hardcover,Biography,October,688,Viking,4.13,"Eleanor Roosevelt, Volume 3: The War Years and After, 1939-1962",2016
Francine Prose,The acclaimed ,ebook,Fiction,October,304,Harper,3.42,Mister Monkey,2016
Ruth Franklin,Instantly heralded for its “masterful” and “thrilling” portrayal (,Hardcover,Biography,September,624,Liveright,4.26,Shirley Jackson: A Rather Haunted Life,2016
