,author,date,description,format,genre,pages,publisher,rating,title,url
0,Liane Moriarty,[],"Six responsible adults. Three cute kids. One small dog. Its just a normal weekend. What could possibly go wrong?Sam and Clementine have a wonderful, albeit, busy life: they have two little girls, Sam has just started a new dream job, and Clementine, a cellist, is busy preparing for the audition of a lifetime. If theres anything they can count on, its each other.Clementine
Six responsible adults. Three cute kids. One small dog. It’s just a normal weekend. What could possibly go wrong?Sam and Clementine have a wonderful, albeit, busy life: they have two little girls, Sam has just started a new dream job, and Clementine, a cellist, is busy preparing for the audition of a lifetime. If there’s anything they can count on, it’s each other.Clementine and Erika are each other’s oldest friends. A single look between them can convey an entire conversation. But theirs is a complicated relationship, so when Erika mentions a last minute invitation to a barbecue with her neighbors, Tiffany and Vid, Clementine and Sam don’t hesitate. Having Tiffany and Vid’s larger than life personalities there will be a welcome respite.Two months later, it won’t stop raining, and Clementine and Sam can’t stop asking themselves the question: What if we hadn’t gone?In Truly Madly Guilty, Liane Moriarty takes on the foundations of our lives: marriage, sex, parenthood, and friendship. She shows how guilt can expose the fault lines in the most seemingly strong relationships, how what we don’t say can be more powerful than what we do, and how sometimes it is the most innocent of moments that can do the greatest harm.",Hardcover,Fiction,415,['by Flatiron Books'],3.57,Truly Madly Guilty,https://www.goodreads.com/book/show/26247008-truly-madly-guilty?from_choice=true
1,Bryn Greenwood,['August 9th 2016'],"As the daughter of a meth dealer, Wavy knows not to trust people, not even her own parents. Struggling to raise her little brother, eight-year-old Wavy is the only responsible ""adult"" around. She finds peace in the starry Midwestern night sky above the fields behind her house. One night everything changes when she witnesses one of her father's thugs, Kellen, a tattooed
As the daughter of a meth dealer, Wavy knows not to trust people, not even her own parents. Struggling to raise her little brother, eight-year-old Wavy is the only responsible ""adult"" around. She finds peace in the starry Midwestern night sky above the fields behind her house. One night everything changes when she witnesses one of her father's thugs, Kellen, a tattooed ex-con with a heart of gold, wreck his motorcycle. What follows is a powerful and shocking love story between two unlikely people that asks tough questions, reminding us of all the ugly and wonderful things that life has to offer.",Hardcover,Fiction,346,['by Thomas Dunne Books'],4.07,All the Ugly and Wonderful Things,https://www.goodreads.com/book/show/26114135-all-the-ugly-and-wonderful-things?from_choice=true
2,Emma Cline,['June 14th 2016'],"Northern California, during the violent end of the 1960s. At the start of summer, a lonely and thoughtful teenager, Evie Boyd, sees a group of girls in the park, and is immediately caught by their freedom, their careless dress, their dangerous aura of abandon. Soon, Evie is in thrall to Suzanne, a mesmerizing older girl, and is drawn into the circle of a soon-to-be
Northern California, during the violent end of the 1960s. At the start of summer, a lonely and thoughtful teenager, Evie Boyd, sees a group of girls in the park, and is immediately caught by their freedom, their careless dress, their dangerous aura of abandon. Soon, Evie is in thrall to Suzanne, a mesmerizing older girl, and is drawn into the circle of a soon-to-be infamous cult and the man who is its charismatic leader. Hidden in the hills, their sprawling ranch is eerie and run down, but to Evie, it is exotic, thrilling, charged—a place where she feels desperate to be accepted. As she spends more time away from her mother and the rhythms of her daily life, and as her obsession with Suzanne intensifies, Evie does not realize she is coming closer and closer to unthinkable violence, and to that moment in a girl’s life when everything can go horribly wrong.",Hardcover,Fiction,355,['by Random House'],3.48,The Girls,https://www.goodreads.com/book/show/26893819-the-girls?from_choice=true
3,Cynthia D'Aprix Sweeney,['March 22nd 2016'],"A warm, funny and acutely perceptive debut novel about four adult siblings and the fate of the shared inheritance that has shaped their choices and their lives.Every family has its problems. But even among the most troubled, the Plumb family stands out as spectacularly dysfunctional. Years of simmering tensions finally reach a breaking point on an unseasonably cold
A warm, funny and acutely perceptive debut novel about four adult siblings and the fate of the shared inheritance that has shaped their choices and their lives.Every family has its problems. But even among the most troubled, the Plumb family stands out as spectacularly dysfunctional. Years of simmering tensions finally reach a breaking point on an unseasonably cold afternoon in New York City as Melody, Beatrice, and Jack Plumb gather to confront their charismatic and reckless older brother, Leo, freshly released from rehab. Months earlier, an inebriated Leo got behind the wheel of a car with a nineteen-year-old waitress as his passenger. The ensuing accident has endangered the Plumbs’ joint trust fund, “The Nest,” which they are months away from finally receiving. Meant by their deceased father to be a modest mid-life supplement, the Plumb siblings have watched The Nest’s value soar along with the stock market and have been counting on the money to solve a number of self-inflicted problems. Melody, a wife and mother in an upscale suburb, has an unwieldy mortgage and looming college tuition for her twin teenage daughters. Jack, an antiques dealer, has secretly borrowed against the beach cottage he shares with his husband, Walker, to keep his store open. And Bea, a once-promising short-story writer, just can’t seem to finish her overdue novel. Can Leo rescue his siblings and, by extension, the people they love? Or will everyone need to reimagine the future they’ve envisioned? Brought together as never before, Leo, Melody, Jack, and Beatrice must grapple with old resentments, present-day truths, and the significant emotional and financial toll of the accident, as well as finally acknowledge the choices they have made in their own lives.This is a story about the power of family, the possibilities of friendship, the ways we depend upon one another and the ways we let one another down. In this tender, entertaining, and deftly written debut, Sweeney brings a remarkable cast of characters to life to illuminate what money does to relationships, what happens to our ambitions over the course of time, and the fraught yet unbreakable ties we share with those we love.",Hardcover,Fiction,368,['by Ecco'],3.42,The Nest,https://www.goodreads.com/book/show/25781157-the-nest?from_choice=true
4,Jodi Picoult,['October 11th 2016'],"Ruth Jefferson is a labor and delivery nurse at a Connecticut hospital with more than twenty years' experience. During her shift, Ruth begins a routine checkup on a newborn, only to be told a few minutes later that she's been reassigned to another patient. The parents are white supremacists and don't want Ruth, who is African American, to touch their child. The hospital
Ruth Jefferson is a labor and delivery nurse at a Connecticut hospital with more than twenty years' experience. During her shift, Ruth begins a routine checkup on a newborn, only to be told a few minutes later that she's been reassigned to another patient. The parents are white supremacists and don't want Ruth, who is African American, to touch their child. The hospital complies with their request, but the next day, the baby goes into cardiac distress while Ruth is alone in the nursery. Does she obey orders or does she intervene? Ruth hesitates before performing CPR and, as a result, is charged with a serious crime. Kennedy McQuarrie, a white public defender, takes her case but gives unexpected advice: Kennedy insists that mentioning race in the courtroom is not a winning strategy. Conflicted by Kennedy's counsel, Ruth tries to keep life as normal as possible for her family—especially her teenage son—as the case becomes a media sensation. As the trial moves forward, Ruth and Kennedy must gain each other's trust, and come to see that what they've been taught their whole lives about others—and themselves—might be wrong. With incredible empathy, intelligence, and candor, Jodi Picoult tackles race, privilege, prejudice, justice, and compassion—and doesn't offer easy answers. Small Great Things is a remarkable achievement from a writer at the top of her game.",Hardcover,Fiction,480,['by Ballantine Books'],4.34,Small Great Things,https://www.goodreads.com/book/show/28587957-small-great-things?from_choice=true
5,Curtis Sittenfeld,['April 19th 2016'],"This version of the Bennet family and Mr. Darcy is one that you have and haven't met before: Liz is a magazine writer in her late thirties who, like her yoga instructor older sister, Jane, lives in New York City. When their father has a health scare, they return to their childhood home in Cincinnati to help and discover that the sprawling Tudor they grew up in is crumbling
This version of the Bennet family and Mr. Darcy is one that you have and haven't met before: Liz is a magazine writer in her late thirties who, like her yoga instructor older sister, Jane, lives in New York City. When their father has a health scare, they return to their childhood home in Cincinnati to help and discover that the sprawling Tudor they grew up in is crumbling and the family is in disarray. Youngest sisters Kitty and Lydia are too busy with their CrossFit workouts and Paleo diets to get jobs. Mary, the middle sister, is earning her third online master's degree and barely leaves her room, except for those mysterious Tuesday-night outings she won't discuss. And Mrs. Bennet has one thing on her mind: how to marry off her daughters, especially as Jane's fortieth birthday fast approaches. Enter Chip Bingley, a handsome new-in-town doctor who recently appeared on the juggernaut reality TV dating show Eligible. At a Fourth of July barbecue, Chip takes an immediate interest in Jane, but Chip's friend, neurosurgeon Fitzwilliam Darcy, reveals himself to Liz to be much less charming. . . . And yet, first impressions can be deceiving.",Hardcover,Fiction,492,['by Random House Publishing Group'],3.61,Eligible : A Modern Retelling of Pride & Prejudice,https://www.goodreads.com/book/show/25852870-eligible?from_choice=true
6,Ann Patchett,['September 13th 2016'],"The acclaimed, bestselling authorwinner of the PEN/Faulkner Award and the Orange Prizetells the enthralling story of how an unexpected romantic encounter irrevocably changes two families lives.One Sunday afternoon in Southern California, Bert Cousins shows up at Franny Keatings christening party uninvited. Before evening falls, he has kissed Frannys mother, Beverlythus
The acclaimed, bestselling author—winner of the PEN/Faulkner Award and the Orange Prize—tells the enthralling story of how an unexpected romantic encounter irrevocably changes two families’ lives.One Sunday afternoon in Southern California, Bert Cousins shows up at Franny Keating’s christening party uninvited. Before evening falls, he has kissed Franny’s mother, Beverly—thus setting in motion the dissolution of their marriages and the joining of two families.Spanning five decades, Commonwealth explores how this chance encounter reverberates through the lives of the four parents and six children involved. Spending summers together in Virginia, the Keating and Cousins children forge a lasting bond that is based on a shared disillusionment with their parents and the strange and genuine affection that grows up between them.When, in her twenties, Franny begins an affair with the legendary author Leon Posen and tells him about her family, the story of her siblings is no longer hers to control. Their childhood becomes the basis for his wildly successful book, ultimately forcing them to come to terms with their losses, their guilt, and the deeply loyal connection they feel for one another.Told with equal measures of humor and heartbreak, Commonwealth is a meditation on inspiration, interpretation, and the ownership of stories. It is a brilliant and tender tale of the far-reaching ties of love and responsibility that bind us together.#1 New York Times Bestseller",Hardcover,Fiction,322,['by Harper'],3.81,Commonwealth,https://www.goodreads.com/book/show/28214365-commonwealth?from_choice=true
7,Steven  Rowley,['June 7th 2016'],"Combining the emotional depth of The Art of Racing in the Rain with the magical spirit of The Life of Pi, Lily and the Octopus is an epic adventure of the heart.When you sit down with Lily and the Octopus, you will be taken on an unforgettable ride.The magic of this novel is in the read, and we dont want to spoil it by giving away too many details. We can tell you that
Combining the emotional depth of The Art of Racing in the Rain with the magical spirit of The Life of Pi, Lily and the Octopus is an epic adventure of the heart.When you sit down with Lily and the Octopus, you will be taken on an unforgettable ride.The magic of this novel is in the read, and we don’t want to spoil it by giving away too many details. We can tell you that this is a story about that special someone: the one you trust, the one you can’t live without.For Ted Flask, that someone special is his aging companion Lily, who happens to be a dog. Lily and the Octopus reminds us how it feels to love fiercely, how difficult it can be to let go, and how the fight for those we love is the greatest fight of all.Remember the last book you told someone they had to read? Lily and the Octopus is the next one.",Hardcover,Fiction,307,['by Simon  Schuster'],3.71,Lily and the Octopus,https://www.goodreads.com/book/show/27276262-lily-and-the-octopus?from_choice=true
8,Elizabeth Strout,['January 12th 2016'],"Lucy Barton is recovering slowly from what should have been a simple operation. Her mother, to whom she hasn't spoken for many years, comes to see her. Her unexpected visit forces Lucy to confront the tension and longing that have informed every aspect of her life: her impoverished childhood in Amgash, Illinois, her escape to New York and her desire to become a writer, her
Lucy Barton is recovering slowly from what should have been a simple operation. Her mother, to whom she hasn't spoken for many years, comes to see her. Her unexpected visit forces Lucy to confront the tension and longing that have informed every aspect of her life: her impoverished childhood in Amgash, Illinois, her escape to New York and her desire to become a writer, her faltering marriage, her love for her two daughters. Knitting this powerful narrative together is the brilliant storytelling voice of Lucy herself: keenly observant, deeply human, and truly unforgettable. In My Name Is Lucy Barton, one of America's finest writers shows how a simple hospital visit illuminates the most tender relationship of all-the one between mother and daughter.",Hardcover,Fiction,193,['by Random House'],3.51,My Name Is Lucy Barton,https://www.goodreads.com/book/show/25893709-my-name-is-lucy-barton?from_choice=true
9,Helen Oyeyemi,['March 8th 2016'],"The key to a house, the key to a heart, the key to a secretOyeyemis keys not only unlock elements of her characters lives, they promise further labyrinths on the other side. In Books and Roses one special key opens a library, a garden, and clues to at least two lovers fates. In Is Your Blood as Red as This? an unlikely key opens the heart of a student at a puppeteering
The key to a house, the key to a heart, the key to a secret—Oyeyemi’s keys not only unlock elements of her characters’ lives, they promise further labyrinths on the other side. In “Books and Roses” one special key opens a library, a garden, and clues to at least two lovers’ fates. In “Is Your Blood as Red as This?” an unlikely key opens the heart of a student at a puppeteering school. “‘Sorry’ Doesn’t Sweeten Her Tea” involves a “house of locks,” where doors can be closed only with a key—with surprising, unobservable developments. And in “If a Book Is Locked There’s Probably a Good Reason for That Don't You Think,” a key keeps a mystical diary locked (for good reason).  Oyeyemi’s tales span multiple times and landscapes as they tease boundaries between coexisting realities. Is a key a gate, a gift, or an invitation?",Hardcover,Short Stories,325,['by Riverhead Books'],3.64,What is Not Yours is Not Yours,https://www.goodreads.com/book/show/25810500-what-is-not-yours-is-not-yours?from_choice=true
