,title,author,description,genre,rating,publisher,pages,format,date,url
0,The Silent Patient,Alex Michaelides,"Alicia Berensons life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of Londons most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.Alicias
Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.Alicia’s refusal to talk, or give any kind of explanation, turns a domestic tragedy into something far grander, a mystery that captures the public imagination and casts Alicia into notoriety. The price of her art skyrockets, and she, the silent patient, is hidden away from the tabloids and spotlight at the Grove, a secure forensic unit in North London.Theo Faber is a criminal psychotherapist who has waited a long time for the opportunity to work with Alicia. His determination to get her to talk and unravel the mystery of why she shot her husband takes him down a twisting path into his own motivations—a search for the truth that threatens to consume him...",Mystery,4.09,Celadon Books,325,Hardcover,"February 5th, 2019",https://www.goodreads.com/book/show/40097951-the-silent-patient?from_choice=true
1,"My Sister, the Serial Killer",Oyinkan Braithwaite,"When Korede's dinner is interrupted one night by a distress call from her sister, Ayoola, she knows what's expected of her: bleach, rubber gloves, nerves of steel and a strong stomach. This'll be the third boyfriend Ayoola's dispatched in, quote, self-defence and the third mess that her lethal little sibling has left Korede to clear away. She should probably go to the
When Korede's dinner is interrupted one night by a distress call from her sister, Ayoola, she knows what's expected of her: bleach, rubber gloves, nerves of steel and a strong stomach. This'll be the third boyfriend Ayoola's dispatched in, quote, self-defence and the third mess that her lethal little sibling has left Korede to clear away. She should probably go to the police for the good of the menfolk of Nigeria, but she loves her sister and, as they say, family always comes first. Until, that is, Ayoola starts dating the doctor where Korede works as a nurse. Korede's long been in love with him, and isn't prepared to see him wind up with a knife in his back: but to save one would mean sacrificing the other...My Sister, the Serial Killer is a blackly comic novel about how blood is thicker - and more difficult to get out of the carpet - than water...",Fiction,3.74,Doubleday Books,226,Hardcover,November 20th 2018,https://www.goodreads.com/book/show/38819868-my-sister-the-serial-killer?from_choice=true
2,The Turn of the Key,Ruth Ware,"When she stumbles across the ad, shes looking for something else completely. But it seems like too good an opportunity to missa live-in nannying post, with a staggeringly generous salary. And when Rowan Caine arrives at Heatherbrae House, she is smittenby the luxurious smart home fitted out with all modern conveniences, by the beautiful Scottish Highlands, and by this
When she stumbles across the ad, she’s looking for something else completely. But it seems like too good an opportunity to miss—a live-in nannying post, with a staggeringly generous salary. And when Rowan Caine arrives at Heatherbrae House, she is smitten—by the luxurious “smart” home fitted out with all modern conveniences, by the beautiful Scottish Highlands, and by this picture-perfect family. What she doesn’t know is that she’s stepping into a nightmare—one that will end with a child dead and herself in prison awaiting trial for murder. Writing to her lawyer from prison, she struggles to explain the unravelling events that led to her incarceration. It wasn’t just the constant surveillance from the cameras installed around the house, or the malfunctioning technology that woke the household with booming music, or turned the lights off at the worst possible time. It wasn’t just the girls, who turned out to be a far cry from the immaculately behaved model children she met at her interview. It wasn’t even the way she was left alone for weeks at a time, with no adults around apart from the enigmatic handyman, Jack Grant. It was everything. She knows she’s made mistakes. She admits that she lied to obtain the post, and that her behavior toward the children wasn’t always ideal. She’s not innocent, by any means. But, she maintains, she’s not guilty—at least not of murder. Which means someone else is. Full of spellbinding menace and told in Ruth Ware’s signature suspenseful style, The Turn of the Key is an unputdownable thriller from the Agatha Christie of our time.",Mystery,3.95,Gallery/Scout Press,337,Hardcover,"August 6th, 2019",https://www.goodreads.com/book/show/42080142-the-turn-of-the-key?from_choice=true
3,The Lost Man,Jane Harper,"Two brothers meet at the border of their vast cattle properties under the unrelenting sun of outback Queensland, in this stunning new standalone novel from New York Times bestseller Jane HarperThey are at the stockmans grave, a landmark so old, no one can remember who is buried there. But today, the scant shadow it casts was the last hope for their middle brother, Cameron.
Two brothers meet at the border of their vast cattle properties under the unrelenting sun of outback Queensland, in this stunning new standalone novel from New York Times bestseller Jane HarperThey are at the stockman’s grave, a landmark so old, no one can remember who is buried there. But today, the scant shadow it casts was the last hope for their middle brother, Cameron. The Bright family’s quiet existence is thrown into grief and anguish. Something had been troubling Cameron. Did he lose hope and walk to his death? Because if he didn’t, the isolation of the outback leaves few suspects…Dark, suspenseful, and deeply atmospheric, The Lost Man is the highly anticipated next book from the bestselling and award-winning Jane Harper, author of The Dry and Force of Nature.",Mystery,4.18,Flatiron Books,340,Hardcover,February 5th 2019,https://www.goodreads.com/book/show/39863488-the-lost-man?from_choice=true
4,An Anonymous Girl,Greer Hendricks,"Seeking women ages 18 - 32 to participate in a study on ethics and morality. Generous compensation. Anonymity guaranteed. When Jessica Farris signs up for a psychology study conducted by the mysterious Dr. Shields, she thinks all shell have to do is answer a few questions, collect her money, and leave. But as the questions grow more and more intense and invasive and the
Seeking women ages 18 - 32 to participate in a study on ethics and morality. Generous compensation. Anonymity guaranteed. When Jessica Farris signs up for a psychology study conducted by the mysterious Dr. Shields, she thinks all she’ll have to do is answer a few questions, collect her money, and leave. But as the questions grow more and more intense and invasive and the sessions become outings where Jess is told what to wear and how to act, she begins to feel as though Dr. Shields may know what she’s thinking…and what she’s hiding. As Jess’s paranoia grows, it becomes clear that she can no longer trust what in her life is real, and what is one of Dr. Shields’ manipulative experiments. Caught in a web of deceit and jealousy, Jess quickly learns that some obsessions can be deadly.",Thriller,3.82,St. Martin's Press,375,Hardcover,"January 8th, 2019",https://www.goodreads.com/book/show/39863515-an-anonymous-girl?from_choice=true
5,The Whisper Man,Alex North,"In this dark, suspenseful thriller, Alex North weaves a multi-generational tale of a father and son caught in the crosshairs of an investigation to catch a serial killer preying on a small town.After the sudden death of his wife, Tom Kennedy believes a fresh start will help him and his young son Jake heal. A new beginning, a new house, a new town. Featherbank.But the town
In this dark, suspenseful thriller, Alex North weaves a multi-generational tale of a father and son caught in the crosshairs of an investigation to catch a serial killer preying on a small town.After the sudden death of his wife, Tom Kennedy believes a fresh start will help him and his young son Jake heal. A new beginning, a new house, a new town. Featherbank.But the town has a dark past. Twenty years ago, a serial killer abducted and murdered five residents. Until Frank Carter was finally caught, he was nicknamed ""The Whisper Man,"" for he would lure his victims out by whispering at their windows at night.Just as Tom and Jake settle into their new home, a young boy vanishes. His disappearance bears an unnerving resemblance to Frank Carter's crimes, reigniting old rumors that he preyed with an accomplice. Now, detectives Amanda Beck and Pete Willis must find the boy before it is too late, even if that means Pete has to revisit his great foe in prison: The Whisper Man.And then Jake begins acting strangely. He hears a whispering at his window...",Thriller,4.07,Celadon Books,355,Hardcover,August 20th 2019,https://www.goodreads.com/book/show/41940236-the-whisper-man?from_choice=true
6,Run Away,Harlan Coben,"A perfect family is shattered in RUN AWAY, the new thriller from the master of domestic suspense, Harlan Coben.You've lost your daughter.She's addicted to drugs and to an abusive boyfriend. And she's made it clear that she doesn't want to be found.Then, by chance, you see her playing guitar in Central Park. But she's not the girl you remember. This woman is living on the
A perfect family is shattered in RUN AWAY, the new thriller from the master of domestic suspense, Harlan Coben.You've lost your daughter.She's addicted to drugs and to an abusive boyfriend. And she's made it clear that she doesn't want to be found.Then, by chance, you see her playing guitar in Central Park. But she's not the girl you remember. This woman is living on the edge, frightened, and clearly in trouble.You don't stop to think. You approach her, beg her to come home.She runs. And you do the only thing a parent can do: you follow her into a dark and dangerous world you never knew existed. Before you know it, both your family and your life are on the line. And in order to protect your daughter from the evils of that world, you must face them head on.",Mystery,4.06,Grand Central Publishing,371,Hardcover,"March 19th, 2019",https://www.goodreads.com/book/show/40697540-run-away?from_choice=true
7,Lock Every Door,Riley Sager,"No visitors. No nights spent away from the apartment. No disturbing the other residents, all of whom are rich or famous or both. These are the only rules for Jules Larsen's new job as an apartment sitter at the Bartholomew, one of Manhattan's most high-profile and mysterious buildings. Recently heartbroken and just plain broke, Jules is taken in by the splendor of her
No visitors. No nights spent away from the apartment. No disturbing the other residents, all of whom are rich or famous or both. These are the only rules for Jules Larsen's new job as an apartment sitter at the Bartholomew, one of Manhattan's most high-profile and mysterious buildings. Recently heartbroken and just plain broke, Jules is taken in by the splendor of her surroundings and accepts the terms, ready to leave her past life behind.As she gets to know the residents and staff of the Bartholomew, Jules finds herself drawn to fellow apartment sitter Ingrid, who comfortingly, disturbingly reminds her of the sister she lost eight years ago. When Ingrid confides that the Bartholomew is not what it seems and the dark history hidden beneath its gleaming facade is starting to frighten her, Jules brushes it off as a harmless ghost story—until the next day, when Ingrid disappears.Searching for the truth about Ingrid's disappearance, Jules digs deeper into the Bartholomew's dark past and into the secrets kept within its walls. Her discovery that Ingrid is not the first apartment sitter to go missing at the Bartholomew pits Jules against the clock as she races to unmask a killer, expose the building's hidden past, and escape the Bartholomew before her temporary status becomes permanent.",Thriller,3.93,Dutton Books,371,Hardcover,"July 2nd, 2019",https://www.goodreads.com/book/show/42368604-lock-every-door?from_choice=true
8,Miracle Creek,Angie  Kim,"How far will you go to protect your family? Will you keep their secrets? Ignore their lies?In a small town in Virginia, a group of people know each other because theyre part of a special treatment center, a hyperbaric chamber that may cure a range of conditions from infertility to autism. But then the chamber explodes, two people die, and its clear the explosion wasnt an
How far will you go to protect your family? Will you keep their secrets? Ignore their lies?In a small town in Virginia, a group of people know each other because they’re part of a special treatment center, a hyperbaric chamber that may cure a range of conditions from infertility to autism. But then the chamber explodes, two people die, and it’s clear the explosion wasn’t an accident.A showdown unfolds as the story moves across characters who are all maybe keeping secrets, hiding betrayals. Was it the careless mother of a patient? Was it the owners, hoping to cash in on a big insurance payment and send their daughter to college? Could it have been a protester, trying to prove the treatment isn’t safe?",Mystery,3.89,Sarah Crichton Books,355,Hardcover,"April 16th, 2019",https://www.goodreads.com/book/show/40121959-miracle-creek?from_choice=true
9,The Mother-in-Law,Sally Hepworth,"Someone once told me that you have two families in your life - the one you are born into and the one you choose. Yes, you may get to choose your partner, but you don't choose your mother-in-law. The cackling mercenaries of fate determine it all.From the moment Lucy met Diana, she was kept at arm's length. Diana is exquisitely polite, but Lucy knows, even after marrying
Someone once told me that you have two families in your life - the one you are born into and the one you choose. Yes, you may get to choose your partner, but you don't choose your mother-in-law. The cackling mercenaries of fate determine it all.From the moment Lucy met Diana, she was kept at arm's length. Diana is exquisitely polite, but Lucy knows, even after marrying Oliver, that they'll never have the closeness she'd been hoping for.But who could fault Diana? She was a pillar of the community, an advocate for social justice, the matriarch of a loving family. Lucy had wanted so much to please her new mother-in-law.That was ten years ago. Now, Diana has been found dead, leaving a suicide note. But the autopsy reveals evidence of suffocation. And everyone in the family is hiding something...From the bestselling author of 
The Family Next Door
 comes a new page-turner about that trickiest of relationships.",Mystery,3.98,St. Martin's Press,340,Hardcover,April 23rd 2019,https://www.goodreads.com/book/show/39863405-the-mother-in-law?from_choice=true
