author,description,format,genre,month,pages,publisher,rating,title,year,best_seller
Liane Moriarty,Six responsible adults. Three cute kids. One small dog. It’s just a normal weekend. What could possibly go wrong?,Hardcover,Fiction,July,415,Flatiron Books,3.56,Truly Madly Guilty,2016.0,0
Bryn Greenwood,"As the daughter of a meth dealer, Wavy knows not to trust people, not even her own parents. Struggling to raise her little brother, eight-year-old Wavy is the only responsible ""adult"" around. She finds peace in the starry Midwestern night sky above the fields behind her house. One night everything changes when she witnesses one of her father's thugs, Kellen, a tattooed ex-",Hardcover,Fiction,August,346,Thomas Dunne Books,4.07,All the Ugly and Wonderful Things,2016.0,0
Emma Cline,"Northern California, during the violent end of the 1960s. At the start of summer, a lonely and thoughtful teenager, Evie Boyd, sees a group of girls in the park, and is immediately caught by their freedom, their careless dress, their dangerous aura of abandon. Soon, Evie is in thrall to Suzanne, a mesmerizing older girl, and is drawn into the circle of a soon-to-be infamou",Hardcover,Fiction,June,355,Random House,3.47,The Girls,2016.0,0
Cynthia D'Aprix Sweeney,"<i>A warm, funny and acutely perceptive debut novel about four adult siblings and the fate of the shared inheritance that has shaped their choices and their lives.</i>",Hardcover,Fiction,March,368,Ecco,3.42,The Nest,2016.0,0
Jodi Picoult,"Ruth Jefferson is a labor and delivery nurse at a Connecticut hospital with more than twenty years' experience. During her shift, Ruth begins a routine checkup on a newborn, only to be told a few minutes later that she's been reassigned to another patient. The parents are white supremacists and don't want Ruth, who is African American, to touch their child. The hospital co",Hardcover,Fiction,October,480,Ballantine Books,4.35,Small Great Things,2016.0,0
Curtis Sittenfeld,"This version of the Bennet family and Mr. Darcy is one that you have and haven't met before: Liz is a magazine writer in her late thirties who, like her yoga instructor older sister, Jane, lives in New York City. When their father has a health scare, they return to their childhood home in Cincinnati to help and discover that the sprawling Tudor they grew up in is crumbling",Hardcover,Fiction,April,492,Random House,3.61,Eligible,2016.0,0
Steven  Rowley,Combining the emotional depth of ,Hardcover,Fiction,June,307,Simon  Schuster,3.72,Lily and the Octopus,2016.0,0
Helen Oyeyemi,"The key to a house, the key to a heart, the key to a secret—Oyeyemi’s keys not only unlock elements of her characters’ lives, they promise further labyrinths on the other side. In “Books and Roses” one special key opens a library, a garden, and clues to at least two lovers’ fates. In “Is Your Blood as Red as This?” an unlikely key opens the heart of a student at a puppetee",Hardcover,Short Stories,March,325,Riverhead Books,3.63,What is Not Yours is Not Yours,2016.0,0
Jung Yun,<b>Why should a man care for his parents when they failed to take care of him as a child?</b>,Hardcover,Fiction,March,326,Picador,3.73,Shelter,2016.0,0
Bette Lee Crosby,"On the day Jennifer Green was born a pile of stones was placed alongside her scale of life. A few were the dark gray of sorrow, but most were a pale blush color. The largest stone was the rose hue of a sunrise. That one would be placed on the scale the day she married Drew Bishop. Even more brilliant but a wee bit smaller was the pink stone glistening with specs of silver.",Kindle Edition,Fiction,September,248,Bent Pine Publishing,4.23,Silver Threads,2016.0,0
Tiffany McDaniel,<b>Fielding Bliss has never forgotten the summer of 1984:</b>,Hardcover,Fiction,July,310,St. Martin's Press,3.93,The Summer that Melted Everything,2016.0,0
Louise Penny,Bestselling author Louise Penny pulls back the layers to reveal a brilliant and emotionally powerful truth in her latest spellbinding novel.,Hardcover,Mystery,August,389,Minotaur Books,4.42,A Great Reckoning,2016.0,0
Ruth Ware,"Lo Blacklock, a journalist who writes for a travel magazine, has just been given the assignment of a lifetime: a week on a luxury cruise with only a handful of cabins. The sky is clear, the waters calm, and the veneered, select guests jovial as the exclusive cruise ship, the Aurora, begins her voyage in the picturesque North Sea. At first, Lo's stay is nothing but pleasant",Hardcover,Mystery,July,340,Gallery/Scout Press,3.68,The Woman in Cabin 10,2016.0,0
J.D. Robb,"Dennis Mira just had two unpleasant surprises. First he learned that his cousin Edward was secretly meeting with a real estate agent about their late grandfather’s magnificent West Village brownstone, despite the promise they both made to keep it in the family. Then, when he went to the house to confront Edward about it, he got a blunt object to the back of the head.",Hardcover,Mystery,February,388,Berkley,4.36,Brotherhood in Death,2016.0,0
B.A. Paris,"Everyone knows a couple like Jack and Grace: he has looks and wealth, she has charm and elegance. You'd like to get to know Grace better. But it's difficult, because you realize Jack and Grace are never apart. Some might call this true love.",Hardcover,Thriller,August,293,St. Martin's Press,3.94,Behind Closed Doors,2016.0,0
Tana French,"<b>The bestselling novel by Tana French, author of <i>The Witch Elm</i>, is “required reading for anyone who appreciates tough, unflinching intelligence and ingenious plotting” (<i>The New York Times</i>). She “inspires cultic devotion in readers” (<i>The New Yorker</i>) and is “the most important crime novelist to emerge in the past 10 years” (<i>The Washington Post</i>).<br/><br/>“Atmospheric and unputdownable.</b>",Hardcover,Mystery,October,449,Viking,3.96,The Trespasser,2016.0,0
Megan Miranda,"Like the spellbinding psychological suspense in The Girl on the Train and Luckiest Girl Alive, Megan Miranda’s novel is a nail-biting, breathtaking story about the disappearances of two young women—a decade apart—told in reverse.",Hardcover,Mystery,June,368,Simon  Schuster,3.79,All the Missing Girls,2016.0,0
Harlan Coben,<b>#1 <i>New York Time</i>s bestseller Harlan Coben delivers his next impossible-to-put-down thriller.</b>,Hardcover,Mystery,March,387,Dutton,3.93,Fool Me Once,2016.0,0
Shari Lapena,<i>It all started at a dinner party. . .</i>,Hardcover,Mystery,August,308,Pamela Dorman Books,3.77,The Couple Next Door,2016.0,0
David Baldacci,Convicted murderer Melvin Mars is counting down the last hours before his execution--for the violent killing of his parents twenty years earlier--when he's granted an unexpected reprieve. Another man has confessed to the crime.,Hardcover,Mystery,April,644,Grand Central Publishing,4.22,The Last Mile,2016.0,0
Daniel Silva,A network of terror.,Hardcover,Fiction,July,528,Harper,4.32,The Black Widow,2016.0,0
Fiona Barton,"When the police started asking questions, Jean Taylor turned into a different woman. One who enabled her and her husband to carry on, when more bad things began to happen...",Hardcover,Mystery,February,324,NAL,3.49,The Widow,2016.0,0
Kate Moretti,"Zoe Whittaker is living a charmed life. She is the beautiful young wife to handsome, charming Wall Street tycoon Henry Whittaker. She is a member of Manhattan’s social elite. She is on the board of one of the city’s most prestigious philanthropic organizations. She has a perfect Tribeca penthouse in the city and a gorgeous lake house in the country. The finest wine, the mo",Paperback,Mystery,September,296,Atria Books,3.64,The Vanishing Year,2016.0,0
Robert Bryndza,Her eyes are wide open. Her lips parted as if to speak. Her dead body frozen in the ice…She is not the only one. ,Paperback,Mystery,February,394,Bookouture,3.95,The Girl In The Ice,2016.0,0
Karin Slaughter,<strong> <em>Husbands and wives. Mothers and daughters. The past and the future. </em> </strong>,Hardcover,Mystery,September,461,William Morrow,4.09,The Kept Woman,2016.0,0
Aleatha Romig,"Sara Adams awakes blind, unable to remember the most basic details of her life, but her darkness seems a blessing when she discovers the terrors of The Light.",Paperback,Mystery,June,352,Thomas & Mercer,4.16,Into the Light,2016.0,0
Angela Marsons,<i>The dead don't tell secrets... unless you listen. </i>,Paperback,Mystery,May,392,Bookouture,4.39,Play Dead,2016.0,0
Susan Elia MacNeal,"England, 1942. The Nazis relentless Blitz may have paused, but London s nightly blackouts continue. Now, under the cover of darkness, a madman is brutally killing and mutilating young women in eerie and exact re-creations of Jack the Ripper s crimes. What s more, he s targeting women who are reporting for duty to be Winston Churchill s spies and saboteurs abroad. The offic",Paperback,Mystery,October,368,Bantam,3.94,The Queen's Accomplice,2016.0,0
John Hart,<p>Now at <i>NYT</i> Besteller </p>,Hardcover,Mystery,May,417,Thomas Dunne Books,4.08,Redemption Road,2016.0,0
Martha Hall Kelly,"<b>Inspired by the life of a real World War II heroine, this debut novel reveals a story of love, redemption, and secrets that were hidden for decades.</b>",Hardcover,Historical,April,487,Ballantine Books,4.3,Lilac Girls,2016.0,0
Stephanie Dray,"In a compelling, richly researched novel that draws from thousands of letters and original sources, bestselling authors Stephanie Dray and Laura Kamoie tell the fascinating, untold story of Thomas Jefferson’s eldest daughter, Martha “Patsy” Jefferson Randolph—a woman who kept the secrets of our most enigmatic founding father and shaped an American legacy.",Paperback,Historical,March,606,William Morrow Paperbacks,4.22,America's First Daughter,2016.0,0
