author,description,format,genre,month,pages,publisher,rating,title,year
Stephen King,"An unspeakable crime. A confounding investigation. At a time when the King brand has never been stronger, he has delivered one of his most unsettling and compulsively readable stories.",Hardcover,Horror,May,561,Scribner,4.07,The Outsider,2018
A.J. Finn,"Anna Fox lives alone—a recluse in her New York City home, unable to venture outside. She spends her day drinking wine (maybe too much), watching old movies, recalling happier times . . . and spying on her neighbors.",Hardcover,Mystery,January,431,William Morrow,3.96,The Woman in the Window,2018
Robert Galbraith,"<i>“I seen a kid killed…He strangled it, up by the horse.”</i>",Hardcover,Mystery,September,650,Mulholland Books,4.30,Lethal White,2018
Greer Hendricks,"When you read this book, you will make many assumptions.",Hardcover,Thriller,January,346,St. Martin's Press,3.85,The Wife Between Us,2018
Lisa Jewell,THEN,Hardcover,Mystery,April,359,Atria Books,4.09,Then She Was Gone,2018
Bill Clinton,<i>The President Is Missing</i>,Hardcover,Fiction,June,513,"Little, Brown and Company and Knopf",3.87,The President Is Missing,2018
Ruth Ware,"On a day that begins like any other, Hal receives a mysterious letter bequeathing her a substantial inheritance. She realizes very quickly that the letter was sent to the wrong person—but also that the cold-reading skills she’s honed as a tarot card reader might help her claim the money.",Hardcover,Mystery,May,368,Gallery/Scout Press,3.84,The Death of Mrs. Westaway,2018
Tana French,"Toby is a happy-go-lucky charmer who’s dodged a scrape at work and is celebrating with friends when the night takes a turn that will change his life – he surprises two burglars who beat him and leave him for dead. Struggling to recover from his injuries, beginning to understand that he might never be the same man again, he takes refuge at his family’s ancestral home to car",Hardcover,Mystery,October,509,Viking,3.63,The Witch Elm,2018
Jane Harper,Five women reluctantly pick up their backpacks and start walking along a muddy track.,Hardcover,Mystery,February,326,Flatiron Books                          (first published September 26th 2017,3.87,Force of Nature,2017
Alice Feeney,<b> <i>My name is Amber Reynolds. There are three things you should know about me:</i> </b>,Hardcover,Thriller,March,262,Flatiron Books,3.86,Sometimes I Lie,2018
Stuart Turton,<b>The Rules of Blackheath</b>,Hardcover,Mystery,September,438,Sourcebooks Landmark                          (first published February 8th 2018,4.03,The 7½ Deaths of Evelyn Hardcastle,2018
Catherine Steadman,"<b>A shocking discovery on a honeymoon in paradise changes the lives of a picture-perfect couple in this taut psychological thriller debut--for readers of Ruth Ware, Paula Hawkins, and Shari Lapena.</b>",Hardcover,Fiction,June,342,Ballantine,3.66,Something in the Water,2018
C.J. Tudor,"In 1986, Eddie and his friends are just kids on the verge of adolescence. They spend their days biking around their sleepy English village and looking for any taste of excitement they can get. The chalk men are their secret code: little chalk stick figures they leave for one another as messages only they can understand. But then a mysterious chalk man leads them right to a",Hardcover,Mystery,January,280,Crown Publishing Group (NY,3.73,The Chalk Man,2018
Sujata Massey,"Bombay, 1921: Perveen Mistry, the daughter of a respected Zoroastrian family, has just joined her father's law firm, becoming one of the first female lawyers in India. Armed with a legal education from Oxford, Perveen also has a tragic personal history that makes her especially devoted to championing and protecting women's rights. ",Hardcover,Mystery,January,385,Soho Press,3.94,The Widows of Malabar Hill,2018
J.D. Robb,Lieutenant Eve Dallas puzzles over a bizarre suicide bombing in a Wall St. office building in the latest in the #1 New York Times bestselling series…,Hardcover,Mystery,September,385,St. Martin's Press,4.37,Leverage in Death,2018
B.A. Paris,"Finn and Layla are young, in love, and on vacation. They’re driving along the highway when Finn decides to stop at a service station to use the restroom. He hops out of the car, locks the doors behind him, and goes inside. When he returns Layla is gone—never to be seen again. That is the story Finn told to the police. But it is not the whole story.",Hardcover,Mystery,June,291,St. Martin's Press                          (first published March 8th 2018,3.50,Bring Me Back,2018
Simone St. James,<b>A breakout suspense novel from the award-winning author of <i>The Haunting of Maddy Clare</i>.</b>,Hardcover,Mystery,March,336,Berkley Books,4.08,The Broken Girls,2018
Riley Sager,"<b>In the new novel from the bestselling author of <i>Final Girls</i>, <i>The Last Time I Lied </i>follows a young woman as she returns to her childhood summer camp to uncover the truth about a tragedy that happened there fifteen years ago.</b>",Hardcover,Mystery,July,370,Dutton Books,4.10,The Last Time I Lied,2018
Victoria Helen Stone,<b>A double life with a single purpose: revenge.</b>,Hardcover,Thriller,August,258,Lake Union Publishing,4.09,Jane Doe,2018
Joe Ide,"Isaiah Quintabe--IQ for short--has never been more successful, or felt more alone. A series of high-profile wins in his hometown of East Long Beach have made him so notorious that he can hardly go to the corner store without being recognized. Dodson, once his sidekick, is now his full-fledged partner, hell-bent on giving IQ's PI business some real legitimacy: a Facebook pa",Hardcover,Mystery,October,352,Mulholland Books,3.94,Wrecked,2018
Kristin Hannah,"Alaska, 1974.",Hardcover,Fiction,February,440,St. Martin's Press,4.33,The Great Alone,2018
Heather   Morris,Based on interviews that were conducted with Holocaust survivor and Auschwitz-Birkenau tattooist Ludwig (Lale) Sokolov—a love story in the midst of atrocity.,Paperback,Historical,September,272,Harper Paperbacks                          (first published January 2018,4.33,The Tattooist of Auschwitz,2018
Chloe  Benjamin,"If you knew the date of your death, how would you live your life?",Hardcover,Fiction,January,346,G.P. Putnam's Sons,3.73,The Immortalists,2018
Kate Morton,"<i>My real name, no one remembers. The truth about that summer, no one else knows.</i>",Hardcover,Historical,October,485,Atria Books                          (first published September 20th 2018,3.80,The Clockmaker's Daughter,2018
