Author,Description,Genre,Publisher,Title
Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect. Read by Cassandra Campbell. 12 hours, 12 minutes unabridged.",audio-fiction,Penguin Audio,WHERE THE CRAWDADS SING
Nora Roberts,"Fallon Swift goes on three quests to discover her powers. Read by Julia Whelan. 13 hours, 42 minutes unabridged.",audio-fiction,Brilliance Audio,OF BLOOD AND BONE
Josie Silver,"A woman spends a year searching for a man in London she believes — after a single glance — is her true love. Read by Eleanor Tomlinson and Charlie Anson. 10 hours, 27 minutes unabridged.",audio-fiction,Random House Audio,ONE DAY IN DECEMBER
John Grisham,"A decorated World War II veteran shoots and kills a pastor inside a Mississippi church. Read by Michael Beck. 17 hours, 36 minutes unabridged.",audio-fiction,Random House Audio,THE RECKONING
Liane Moriarty,A romance writer becomes fascinated by the owner and director of a health resort. Read by Caroline Lee. 19 hours unabridged.,audio-fiction,Macmillan Audio,NINE PERFECT STRANGERS
David Baldacci,"The F.B.I. agent Atlee Pine must choose between protecting her career or the United States' democracy. Read by Brittany Pressley and Kyf Brewer. 11 hours, 9 minutes unabridged.",audio-fiction,Hachette Audio,LONG ROAD TO MERCY
George RR Martin,"The first volume of the two-part history of the Targaryens in Westeros. Read by Simon Vance. 26 hours, 24 minutes unabridged.",audio-fiction,Random House Audio,FIRE AND BLOOD
Madeline Miller,"Zeus banishes Helios' daughter to an island, where she must choose between living with gods or mortals. Read by Perdita Weeks. 12 hours, 8 minutes unabridged.",audio-fiction,Hachette Audio,CIRCE
Nicholas Sparks,"Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town. Read by Sean Cameron Michael and Vanessa Johansson. 9 hours, 11 minutes unabridged.",audio-fiction,Hachette Audio,EVERY BREATH
Patrick Rothfuss,"A notorious magician disguised as an innkeeper tells the story of his life. Read by Nick Podehl. 27 hours, 55 minutes unabridged.",audio-fiction,Brilliance Audio,THE NAME OF THE WIND
Lisa Jewell,"Ten years after her daughter disappears, a woman tries to get her life in order. Read by Helen Duff. 10 hours, 11 minutes unabridged.",audio-fiction,Dreamscape Media,THEN SHE WAS GONE
Lee Child,"Jack Reacher explores the New England town where his father was born. Read by Scott Brick. 12 hours, 51 minutes unabridged.",audio-fiction,Random House Audio,PAST TENSE
Greer Hendricks and Sarah Pekkanen,"The story of a love triangle is told from several points of view. Read by Julia Whelan. 11 hours, 13 minutes unabridged.",audio-fiction,Macmillan Audio,THE WIFE BETWEEN US
Gail Honeyman,"A young woman’s well-ordered life is disrupted by the I.T. guy from her office. Read by Cathleen McCarron. 11 hours, 1 minute unabridged.",audio-fiction,Penguin Audio,ELEANOR OLIPHANT IS COMPLETELY FINE
George R R Martin,"In the frozen wastes to the north of Winterfell, sinister and supernatural forces are mustering. Read by Roy Dotrice. 33 hours, 46 minutes unabridged.",audio-fiction,Random House Audio,A GAME OF THRONES
Michelle Obama,"The former first lady describes how she balanced work, family and her husband’s political ascent. Read by the author. 19 hours, 3 minutes unabridged.",audio-nonfiction,Random House Audio,BECOMING
Tara Westover,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university. Read by Julia Whelan. 12 hours, 10 minutes unabridged.",audio-nonfiction,Random House Audio,EDUCATED
Yuval Noah Harari,"How Homo sapiens became Earth’s dominant species. Read by Derek Perkins. 15 hours, 17 minutes unabridged.",audio-nonfiction,Harper Audio,SAPIENS
