author,description,format,genre,month,pages,publisher,rating,title,year
David Grann,"In the 1920s, the richest people per capita in the world were members of the Osage Indian Nation in Oklahoma. After oil was discovered beneath their land, the Osage rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.",ebook,Nonfiction,April,359,Doubleday,4.11,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,2017
George Saunders,"In his long-awaited first novel, American master George Saunders delivers his most original, transcendent, and moving work yet. Unfolding in a graveyard over the course of a single night, narrated by a dazzling chorus of voices, Lincoln in the Bardo is a literary experience unlike any other—for no one but Saunders could conceive it.",Hardcover,Fiction,February,343,Random House,3.79,Lincoln in the Bardo,2017
Min Jin Lee,<i>Pachinko</i>,Hardcover,Historical,February,489,Grand Central Publishing,4.26,Pachinko,2017
Mohsin Hamid,"In a country teetering on the brink of civil war, two young people meet—sensual, fiercely independent Nadia and gentle, restrained Saeed. They embark on a furtive love affair and are soon cloistered in a premature intimacy by the unrest roiling their city. When it explodes, turning familiar streets into a patchwork of checkpoints and bomb blasts, they begin to hear whisper",Hardcover,Fiction,March,231,Riverhead                          (first published March 2nd 2017,3.81,Exit West,2017
Ali Smith,"Autumn. Season of mists and mellow fruitfulness. That's what it felt like for Keats in 1819. How about Autumn 2016? Daniel is a century old. Elisabeth, born in 1984, has her eye on the future. The United Kingdom is in pieces, divided by a historic, once-in-a-generation summer.Love is won, love is lost. Hope is hand-in-hand with hopelessness. The seasons roll round, as ever",Hardcover,Fiction,February,263,Pantheon Books                          (first published October 20th 2016,3.72,Autumn,2016
Ta-Nehisi Coates,"""We were eight years in power"" was the lament of Reconstruction-era black politicians as the American experiment in multiracial democracy ended with the return of white supremacist rule in the South. Now Ta-Nehisi Coates explores the tragic echoes of that history in our own time: the unprecedented election of a black president followed by a vicious backlash that fueled the",Hardcover,Nonfiction,October,367,One World,4.44,We Were Eight Years in Power: An American Tragedy,2017
Jesmyn Ward,Jesmyn Ward’s first novel since her National Book Award–winning ,Hardcover,Fiction,September,285,Scribner,4.04,"Sing, Unburied, Sing",2017
Naomi Alderman,In ,Hardcover,Fiction,October,341,Viking                          (first published October 27th 2016,3.88,The Power,2016
Trevor Noah,"The compelling, inspiring, and comically sublime New York Times bestseller about one man’s coming-of-age, set during the twilight of apartheid and the tumultuous days of freedom that followed.",Hardcover,Nonfiction,November,304,Doubleday Canada,4.44,Born a Crime: Stories From a South African Childhood,2016
Sarah Perry,"Set in Victorian London and an Essex village in the 1890's, and enlivened by the debates on scientific and medical discovery which defined the era, ",Hardcover,Historical,June,422,Custom House                          (first published May 27th 2016,3.63,The Essex Serpent,2016
Ayọ̀bámi Adébáyọ̀,"Yejide and Akin have been married since they met and fell in love at university. Though many expected Akin to take several wives, he and Yejide have always agreed: polygamy is not for them. But four years into their marriage--after consulting fertility doctors and healers, trying strange teas and unlikely cures--Yejide is still not pregnant. She assumes she still has time-",Hardcover,Fiction,August,260,Knopf Publishing Group                          (first published March 2nd 2017,4.03,Stay with Me,2017
Kamila Shamsie,"The suspenseful and heartbreaking story of an immigrant family driven to pit love against loyalty, with devastating consequences ",Hardcover,Fiction,August,276,Riverhead Books,4.09,Home Fire,2017
David Grossman,"<b>The award-winning and internationally acclaimed author of the <i>To the End of the Land </i>now gives us a searing short novel about the life of a stand-up comic, as revealed in the course of one evening's performance. In the dance between comic and audience, with barbs flying back and forth, a deeper story begins to take shape--one that will alter the lives of many of those in a</b>",Hardcover,Fiction,February,208,Alfred A. Knopf                          (first published August 2014,3.55,A Horse Walks into a Bar,2014
Elizabeth Strout,Short story collection ,Hardcover,Fiction,April,254,Random House,3.77,Anything Is Possible,2017
Gail Honeyman,No one’s ever told Eleanor that life should be better than fine. ,Hardcover,Fiction,May,327,Viking - Pamela Dorman Books,4.33,Eleanor Oliphant Is Completely Fine,2017
Jennifer Egan,<b>The daring and magnificent novel from the Pulitzer Prize–winning author of A Visit from the Goon Squad.</b>,Hardcover,Historical,October,438,Scribner,3.64,Manhattan Beach,2017
Patricia Lockwood,"The childhood of Patricia Lockwood, the poet dubbed ""The Smutty-Metaphor Queen of Lawrence, Kansas"" by ",Hardcover,Autobiography,May,336,Riverhead Books,3.83,Priestdaddy: A Memoir,2017
Andrew Sean Greer,"8 hours, 20 minutes",ebook,Fiction,July,272,Lee Boudreaux Books,3.80,Less,2017
Amy Goldstein,<b>* <i>Financial Times</i> and McKinsey Business Book of the Year * </b>,Hardcover,Nonfiction,April,368,Simon & Schuster,4.14,Janesville: An American Story,2017
Dava Sobel,<b>Author Dava Sobel returns with the little-known true story of a group of women whose contributions to the burgeoning field of astronomy forever changed our understanding of the stars and our place in the universe</b>,Hardcover,Nonfiction,December,336,Viking,3.54,The Glass Universe: How the Ladies of the Harvard Observatory Took the Measure of the Stars,2016
Paul Auster,"<b>Astonishing, a masterpiece, Paul Auster’s greatest, most satisfying, most vivid and heartbreaking novel -- a sweeping and surprising story of inheritance, family, love and life itself.</b>",Hardcover,Fiction,January,866,Henry Holt and Co.                          (first published January 2017,3.89,4 3 2 1,2017
