Author,Description,Genre,Publisher,Title
John Grisham,A decorated World War II veteran shoots and kills a pastor inside a Mississippi church.,combined-print-and-e-book-fiction,Doubleday,THE RECKONING
Nicholas Sparks,Difficult choices surface when Hope Anderson and Tru Walls meet in a North Carolina seaside town.,combined-print-and-e-book-fiction,Grand Central,EVERY BREATH
George RR Martin,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",combined-print-and-e-book-fiction,Bantam,FIRE AND BLOOD
Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",combined-print-and-e-book-fiction,Putnam,WHERE THE CRAWDADS SING
James Patterson,Alex Cross returns for the 26th book in the series bearing his name.,combined-print-and-e-book-fiction,"Little, Brown",TARGET: ALEX CROSS
W Bruce Cameron,A dog sets out across 400 miles of wilderness to find the man who rescued her as a puppy.,combined-print-and-e-book-fiction,Forge,A DOG'S WAY HOME
Lee Child,Jack Reacher explores the New England town where his father was born and a Canadian couple now find themselves stranded.,combined-print-and-e-book-fiction,Delacorte,PAST TENSE
Heather Morris,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.,combined-print-and-e-book-fiction,Harper,THE TATTOOIST OF AUSCHWITZ
David Baldacci,"Atlee Pine, an F.B.I. agent who is haunted by the childhood kidnapping of her twin sister, must choose between protecting her career or the United States' democracy.",combined-print-and-e-book-fiction,Grand Central Publishing,LONG ROAD TO MERCY
Liane Moriarty,A romance writer becomes fascinated by the owner and director of a health resort.,combined-print-and-e-book-fiction,Flatiron,NINE PERFECT STRANGERS
Mitch Albom,"The sequel to ""The Five People You Meet in Heaven"" follows Annie on her heavenly journey.",combined-print-and-e-book-fiction,Harper,THE NEXT PERSON YOU MEET IN HEAVEN
Fern Michaels,Isabelle Flanders Tookus calls on a group of women known as the Sisterhood to save a millionaire's genius grandson.,combined-print-and-e-book-fiction,Zebra,SAFE AND SOUND
Rupi Kaur,Poetic approaches to surviving adversity and loss.,combined-print-and-e-book-fiction,Andrews McMeel,MILK AND HONEY
Stephen King,A man who is losing weight without getting thinner forms an unlikely alliance with his neighbors who are dealing with prejudices.,combined-print-and-e-book-fiction,Scribner,ELEVATION
