Author,Description,Genre,Publisher,Title
Yuval Noah Harari,How Homo sapiens became Earth’s dominant species.,paperback-nonfiction,Harper Perennial,SAPIENS
David Grann,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",paperback-nonfiction,Vintage,KILLERS OF THE FLOWER MOON
John Grisham,Grisham's first nonfiction book concerns a man wrongly sentenced to death.,paperback-nonfiction,Bantam/Dell,THE INNOCENT MAN
Ruth Bader Ginsburg with Mary Hartnett and Wendy W Williams,A collection of articles and speeches by the Supreme Court justice.,paperback-nonfiction,Simon & Schuster,MY OWN WORDS
Phil Knight,"A memoir by the co-founder of Nike, Inc.",paperback-nonfiction,Scribner,SHOE DOG
Ron Chernow,A biography of the first Treasury secretary and one of the Founding Fathers of the United States. Originally published in 2004 and the basis of the Tony Award-winning Broadway musical.,paperback-nonfiction,Penguin,ALEXANDER HAMILTON
Brian Kilmeade and Don Yaeger,Major General Jackson takes on the British in Louisiana.,paperback-nonfiction,Sentinel,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS
Bryan Stevenson,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,paperback-nonfiction,Spiegel & Grau,JUST MERCY
Daniel Kahneman,When we can and cannot trust our intuitions in making business and personal decisions.,paperback-nonfiction,"Farrar, Straus & Giroux","THINKING, FAST AND SLOW"
Angela Duckworth,The MacArthur Fellow argues that passion and perseverance are more important than innate talent in creating success.,paperback-nonfiction,Scribner,GRIT
Robin DiAngelo,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.,paperback-nonfiction,Beacon Press,WHITE FRAGILITY
Bessel van der Kolk,"How trauma affects the body and mind, and innovative treatments for recovery.",paperback-nonfiction,Penguin,THE BODY KEEPS THE SCORE
Erik Larson,A story of how an architect and a serial killer were linked by the Chicago World's Fair of 1893. Originally published in 2003.,paperback-nonfiction,Vintage,THE DEVIL IN THE WHITE CITY
Yuval Noah Harari,A provocative look into the future by the author of “Sapiens.”,paperback-nonfiction,Harper Perennial,HOMO DEUS
David Sheff,A father struggles with his son's meth addiction.,paperback-nonfiction,Mariner,BEAUTIFUL BOY
